date,spp,id,num_RLs,num_w_RLBH,location notes,per_herbivory,,,,,,,,,,,,,,,,,,,
6/16/22,vill,na,6,0,Morro blvd,,,,,,,,,,,,,,,,,,,,
6/16/22,vill,na,3,0,Morro blvd,,,,,,,,,,,,,,,,,,,,
6/16/22,vill,na,6,0,Morro blvd,,,,,,,,,,,,,,,,,,,,
6/16/22,vill,na,9,0,Morro blvd,,,,,,,,,,,,,,,,,,,,
6/16/22,vill,na,2,0,Morro blvd,,,,,,,,,,,,,,,,,,,,
6/16/22,vill,na,10,0,Morro blvd,,,,,,,,,,,,,,,,,,,,
6/16/22,vill,na,5,0,Morro blvd,,,,,,,,,,,,,,,,,,,,
6/16/22,vill,na,26,0,Morro blvd,,,,,,,,,,,,,,,,,,,,
6/16/22,vill,na,12,0,Morro blvd,,,,,,,,,,,,,,,,,,,,
6/16/22,vill,na,8,0,Morro blvd,,,,,,,,,,,,,,,,,,,,
6/16/22,vill,na,4,0,Morro blvd,,,,,,,,,,,,,,,,,,,,
6/16/22,vill,na,3,0,Morro blvd,,,,,,,,,,,,,,,,,,,,
6/16/22,vill,na,3,0,Morro blvd,,,,,,,,,,,,,,,,,,,,
6/16/22,vill,na,8,0,Morro blvd,,,,,,,,,,,,,,,,,,,,
6/16/22,vill,na,3,0,Morro blvd,,,,,,,,,,,,,,,,,,,,
6/16/22,vill,na,2,0,Water tank hill,,,,,,,,,,,,,,,,,,,,
6/16/22,vill,na,1,0,Water tank hill,,,,,,,,,,,,,,,,,,,,
6/16/22,vill,na,1,0,Water tank hill,,,,,,,,,,,,,,,,,,,,
6/16/22,vill,na,2,0,perezoso trail by canopy tower,,,,,,,,,,,,,,,,,,,,
6/16/22,vill,na,1,0,trail down to hotel from tower,,,,,,,,,,,,,,,,,,,,
6/16/22,vill,na,1,0,trail down to hotel from tower,,,,,,,,,,,,,,,,,,,,
6/16/22,vill,na,1,0,trail down to hotel from tower,,,,,,,,,,,,,,,,,,,,
6/16/22,vill,na,1,0,trail down to hotel from tower,,,,,,,,,,,,,,,,,,,,
